datetime,temp,humidity,pressure,wind_speed,clouds,visibility,weather_main,pm2_5,pm10,no2,so2,o3,co,aqi_index
2025-09-23 14:00:00+00:00,27.9,69,1006,5.14,75,,Smoke,2.93,9.99,0.07,0.28,41.31,87,1
2025-09-23 15:00:00+00:00,26.9,78,1006,4.63,40,,Smoke,3.1,10.7,0.07,0.29,41.05,86.69,1
2025-09-23 16:00:00+00:00,26.9,78,1007,4.12,40,,Smoke,3.27,11.33,0.07,0.3,40.53,86.02,1
2025-09-23 17:00:00+00:00,26.9,78,1007,4.63,40,,Smoke,3.44,11.94,0.07,0.31,40.09,85.53,1
2025-09-23 18:00:00+00:00,26.9,78,1007,5.66,40,,Smoke,3.63,12.61,0.07,0.32,39.62,85.01,1
2025-09-23 19:00:00+00:00,26.9,78,1006,4.63,75,,Smoke,3.8,13.15,0.07,0.32,39.29,84.2,1
2025-09-23 20:00:00+00:00,26.9,78,1006,4.63,40,,Smoke,3.93,13.61,0.06,0.33,39.16,83.57,1
2025-09-23 21:00:00+00:00,26.9,78,1005,3.6,40,,Smoke,4.03,13.99,0.06,0.33,39.13,82.97,1
2025-09-23 22:00:00+00:00,26.9,78,1005,4.63,40,,Smoke,4.12,14.44,0.06,0.33,39.25,82.81,1
2025-09-23 23:00:00+00:00,26.9,78,1005,4.12,40,,Smoke,4.21,14.92,0.06,0.33,39.5,82.72,1
2025-09-24 00:00:00+00:00,26.9,83,1005,4.63,75,,Smoke,4.28,15.38,0.06,0.33,39.86,82.8,1
2025-09-24 01:00:00+00:00,26.9,78,1005,2.57,75,,Smoke,4.34,15.52,0.06,0.33,40.17,82.98,1
2025-09-24 02:00:00+00:00,26.9,83,1006,3.6,75,,Smoke,4.37,15.3,0.06,0.32,40.4,83.2,1
2025-09-24 03:00:00+00:00,27.9,78,1006,4.63,75,,Smoke,4.35,14.99,0.06,0.31,40.64,83.3,1
2025-09-24 04:00:00+00:00,27.9,78,1007,3.6,75,,Smoke,4.31,15.02,0.06,0.29,40.76,83.53,1
2025-09-24 05:00:00+00:00,27.9,78,1007,5.14,75,,Smoke,4.28,15.25,0.05,0.28,40.73,83.59,1
2025-09-24 06:00:00+00:00,28.9,70,1006,5.14,75,,Smoke,4.27,15.39,0.05,0.28,40.56,83.74,1
2025-09-24 07:00:00+00:00,29.9,70,1006,5.66,75,,Smoke,4.26,15.4,0.05,0.27,40.31,83.95,1
2025-09-24 08:00:00+00:00,29.9,70,1005,5.66,75,,Smoke,4.27,15.38,0.05,0.28,39.83,83.93,1
2025-09-24 09:00:00+00:00,29.9,70,1004,5.14,75,,Smoke,4.28,15.32,0.04,0.28,39.35,83.88,1
2025-09-24 10:00:00+00:00,30.9,62,1003,8.23,75,,Smoke,4.34,15.45,0.05,0.28,39.16,84.29,1
2025-09-24 11:00:00+00:00,29.9,66,1003,5.66,75,,Clouds,4.4,15.61,0.05,0.29,39.05,84.47,1
2025-09-24 12:00:00+00:00,29.9,66,1003,6.69,75,,Clouds,4.46,15.76,0.05,0.29,39,84.74,1
2025-09-24 13:00:00+00:00,28.9,70,1004,5.66,75,,Clouds,4.52,15.79,0.06,0.3,39.18,85.26,1
2025-09-24 14:00:00+00:00,27.9,74,1004,5.14,40,,Smoke,4.55,15.69,0.07,0.29,39.5,85.89,1
2025-09-24 15:00:00+00:00,26.9,78,1004,4.12,40,,Smoke,4.57,15.63,0.07,0.29,40.16,86.67,1
2025-09-24 16:00:00+00:00,26.9,78,1005,5.14,40,,Smoke,4.55,15.64,0.07,0.28,41.17,87.58,1
2025-09-24 17:00:00+00:00,27.9,78,1005,2.57,75,,Smoke,4.61,16.31,0.07,0.27,42.64,88.77,1
2025-09-24 18:00:00+00:00,27.9,78,1005,5.14,75,,Smoke,4.84,17.7,0.06,0.27,44.01,89.73,1
2025-09-24 19:00:00+00:00,27.9,78,1005,5.14,75,,Smoke,5.14,18.78,0.06,0.27,45.23,90.31,1
2025-09-24 20:00:00+00:00,26.9,83,1005,5.14,75,,Smoke,5.45,19.46,0.06,0.26,46.24,91.05,1
2025-09-24 21:00:00+00:00,26.9,83,1004,4.12,40,,Smoke,5.73,20.04,0.06,0.25,47.15,91.52,2
2025-09-24 22:00:00+00:00,25.9,83,1004,2.06,40,,Smoke,6,20.59,0.06,0.25,48.03,91.78,2
2025-09-24 23:00:00+00:00,25.9,83,1004,2.06,40,,Smoke,6.24,21.18,0.06,0.24,48.75,91.95,2
2025-09-25 00:00:00+00:00,25.9,83,1004,2.06,40,,Smoke,6.45,21.9,0.06,0.23,49.28,91.97,2
2025-09-25 01:00:00+00:00,25.9,89,1005,3.6,40,,Smoke,6.67,23.06,0.06,0.22,49.66,92.12,2
2025-09-25 02:00:00+00:00,24.9,94,1005,1.54,20,,Smoke,6.9,24.3,0.06,0.22,49.87,92.12,2
2025-09-25 03:00:00+00:00,26.9,89,1006,1.54,20,,Smoke,7.11,25.25,0.06,0.22,49.94,91.97,2
2025-09-25 04:00:00+00:00,27.9,83,1007,3.09,20,,Smoke,7.27,25.93,0.05,0.21,49.82,92.01,2
2025-09-25 05:00:00+00:00,29.9,70,1007,3.6,40,,Smoke,7.41,26.56,0.04,0.2,49.63,91.95,2
2025-09-25 06:00:00+00:00,29.9,70,1006,5.14,75,,Haze,7.52,27.09,0.04,0.19,49.23,91.95,2
2025-09-25 07:00:00+00:00,29.9,70,1006,5.66,75,,Haze,7.59,27.47,0.04,0.18,48.64,91.87,2
2025-09-25 08:00:00+00:00,30.9,62,1005,5.66,75,,Clouds,7.64,27.93,0.04,0.17,47.99,91.72,2
